Unnamed: 0.1,Unnamed: 0,French,English
0,1,chercher,search
1,2,seulement,only
2,3,police,police
3,4,aide,help
4,5,demande,request
7,8,frère,brother
8,9,laisser,let
9,10,car,because
10,11,mettre,to put
11,12,aucun,no
12,13,laisse,leash
13,14,eux,them
14,15,ville,city
15,16,chaque,each
16,17,parlé,speak
17,18,arrivé,come
18,19,devrait,should
19,20,bébé,baby
20,21,longtemps,long time
21,22,heures,hours
22,23,vont,will
23,24,pendant,while
24,25,aucune,any
25,27,parle,speak
26,28,compris,understood
28,30,étaient,were
29,31,attention,Warning
30,32,voici,here is
31,33,pourrais,could
33,35,donner,give
34,36,type,type
35,37,leurs,their
36,38,donné,given
37,39,train,train
38,40,corps,body
39,41,endroit,place
40,42,yeux,eyes
41,43,façon,way
42,44,écoute,listen
43,45,dont,whose
44,46,trouve,find
45,47,premier,first
47,49,première,first
48,50,côté,side
49,51,pouvoir,power
50,52,vieux,old
51,53,tiens,here
52,54,matin,morning
53,55,tellement,so much
54,56,enfant,child
55,57,point,point
56,58,pardon,sorry
57,59,venez,come
58,60,devant,in front of
59,61,vers,towards
60,62,minutes,minutes
61,63,chambre,bedroom
62,64,mis,placed
63,65,belle,beautiful
64,66,droit,law
65,67,aimerais,would like to
66,68,aujourd'hui,today
67,69,mari,husband
68,70,cause,cause
69,71,enfin,finally
70,72,espère,hope
71,73,eau,water
72,74,attendez,Wait
73,75,parti,left
74,76,nouvelle,new
75,77,boulot,job
76,78,arrêter,Stop
77,79,dirait,would say
78,80,terre,Earth
79,81,compte,account
80,82,donne,given
81,83,loin,far
82,84,fin,end
83,85,croire,believe
84,86,chérie,sweetheart
85,87,gros,large
86,88,plutôt,rather
87,89,aura,will have
88,90,filles,girls
89,91,jouer,to play
90,92,bureau,office
